latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.5483,104.6533,323.4,1.4,1.2,2020-06-17,615,Aqua,MODIS,76,6.03,297.5,13.9,D,0
10.4315,104.8567,316.2,1.4,1.2,2020-06-17,615,Aqua,MODIS,59,6.03,290.1,12.7,D,0
5.637,105.0433,317.4,1.6,1.2,2020-06-17,614,Aqua,MODIS,68,6.03,290.6,22.0,D,3
5.6342,105.0358,312.3,1.6,1.2,2020-06-17,614,Aqua,MODIS,53,6.03,290.0,15.0,D,3
5.7703,101.0722,308.5,1.1,1.1,2020-06-18,357,Terra,MODIS,62,6.03,285.9,5.7,D,2
11.3608,104.1313,318.5,1.4,1.2,2020-06-18,355,Terra,MODIS,29,6.03,298.5,12.7,D,0
20.3416,105.9205,322.0,1.3,1.1,2020-06-18,353,Terra,MODIS,58,6.03,298.0,13.3,D,0
19.9785,105.6423,319.0,1.3,1.1,2020-06-18,353,Terra,MODIS,70,6.03,296.6,8.1,D,0
19.2436,104.8394,315.5,1.6,1.2,2020-06-19,605,Aqua,MODIS,65,6.03,292.1,15.0,D,0
20.813,105.3452,317.5,1.4,1.2,2020-06-19,605,Aqua,MODIS,38,6.03,295.6,12.9,D,2
20.6261,105.8857,321.5,1.3,1.1,2020-06-19,605,Aqua,MODIS,67,6.03,298.4,11.2,D,0
12.8321,105.1507,316.2,2.0,1.4,2020-06-19,603,Aqua,MODIS,51,6.03,293.2,17.9,D,0
12.8444,105.1485,317.0,2.0,1.4,2020-06-19,603,Aqua,MODIS,46,6.03,294.3,18.5,D,0
12.7984,105.2011,335.6,2.0,1.4,2020-06-19,603,Aqua,MODIS,76,6.03,292.4,79.3,D,0
19.2462,104.8549,312.3,1.6,1.2,2020-06-19,605,Aqua,MODIS,37,6.03,291.2,10.1,D,0
19.2466,104.8478,317.1,1.6,1.2,2020-06-19,605,Aqua,MODIS,71,6.03,291.3,18.6,D,0
19.24,104.6117,314.9,1.7,1.3,2020-06-19,605,Aqua,MODIS,68,6.03,291.3,14.4,D,0
12.8402,105.1485,307.2,1.1,1.0,2020-06-19,1528,Terra,MODIS,71,6.03,286.6,6.3,N,0
12.8383,105.1376,320.8,2.0,1.4,2020-06-19,603,Aqua,MODIS,70,6.03,295.7,29.5,D,0
12.8413,105.156,317.8,2.0,1.4,2020-06-19,603,Aqua,MODIS,62,6.03,294.2,20.8,D,0
18.0959,105.7763,323.5,1.4,1.2,2020-06-20,1859,Aqua,MODIS,100,6.03,296.2,31.5,N,0
18.0936,105.7899,306.1,1.4,1.2,2020-06-20,1859,Aqua,MODIS,67,6.03,295.7,6.9,N,0
13.5984,101.3512,320.6,1.0,1.0,2020-06-20,647,Aqua,MODIS,24,6.03,300.2,8.1,D,2
14.0703,100.644,320.9,1.0,1.0,2020-06-20,647,Aqua,MODIS,25,6.03,295.3,6.1,D,2
12.7287,101.471,312.2,1.1,1.1,2020-06-20,343,Terra,MODIS,52,6.03,286.7,6.9,D,0
12.7039,104.9843,318.0,1.1,1.0,2020-06-20,343,Terra,MODIS,42,6.03,295.9,5.4,D,0
15.1166,104.3329,320.7,1.0,1.0,2020-06-20,342,Terra,MODIS,45,6.03,298.5,7.8,D,2
20.6604,105.9278,324.7,1.0,1.0,2020-06-20,341,Terra,MODIS,32,6.03,299.9,10.3,D,0
19.7049,105.5946,324.1,1.0,1.0,2020-06-20,341,Terra,MODIS,68,6.03,298.9,10.4,D,0
19.7035,105.604,333.2,1.0,1.0,2020-06-20,341,Terra,MODIS,84,6.03,298.2,21.9,D,0
19.3235,105.1831,318.9,1.0,1.0,2020-06-20,341,Terra,MODIS,50,6.03,300.2,6.3,D,0
19.1874,104.6681,319.9,1.0,1.0,2020-06-20,341,Terra,MODIS,68,6.03,296.6,8.9,D,0
19.186,104.6775,331.7,1.0,1.0,2020-06-20,341,Terra,MODIS,83,6.03,296.9,21.9,D,0
17.9272,103.9542,318.3,1.0,1.0,2020-06-20,341,Terra,MODIS,63,6.03,298.2,8.2,D,0
17.1617,104.1519,322.8,1.0,1.0,2020-06-20,342,Terra,MODIS,44,6.03,298.9,8.7,D,2
14.5223,101.7246,319.1,1.1,1.1,2020-06-20,342,Terra,MODIS,58,6.03,292.1,11.2,D,0
20.6303,105.8837,324.0,1.0,1.0,2020-06-20,341,Terra,MODIS,71,6.03,301.1,10.7,D,0
16.0946,103.9243,314.9,3.7,1.8,2020-06-21,552,Aqua,MODIS,40,6.03,291.9,42.1,D,0
14.4588,99.1628,316.8,2.0,1.4,2020-06-21,425,Terra,MODIS,40,6.03,297.0,21.3,D,0
20.0011,97.7489,319.3,1.3,1.1,2020-06-21,424,Terra,MODIS,71,6.03,297.5,12.6,D,0
9.9506,105.2864,316.0,1.0,1.0,2020-06-22,331,Terra,MODIS,51,6.03,295.0,7.9,D,0
14.2096,100.3943,321.6,1.2,1.1,2020-06-22,635,Aqua,MODIS,63,6.03,297.2,10.7,D,0
14.1086,99.6944,324.6,1.3,1.1,2020-06-22,635,Aqua,MODIS,73,6.03,298.4,19.5,D,0
14.3157,100.8246,318.9,1.1,1.1,2020-06-22,635,Aqua,MODIS,44,6.03,297.9,6.6,D,2
14.3808,100.8403,323.5,1.1,1.1,2020-06-22,635,Aqua,MODIS,47,6.03,300.9,10.8,D,2
14.5122,100.6241,323.5,1.2,1.1,2020-06-22,635,Aqua,MODIS,53,6.03,302.4,10.9,D,0
14.9433,100.3017,322.7,1.2,1.1,2020-06-22,635,Aqua,MODIS,64,6.03,301.1,7.2,D,0
14.9416,100.2908,324.6,1.2,1.1,2020-06-22,635,Aqua,MODIS,71,6.03,301.3,10.4,D,0
15.8054,102.0283,325.6,1.0,1.0,2020-06-22,635,Aqua,MODIS,47,6.03,304.8,10.1,D,2
15.7863,100.601,325.1,1.1,1.1,2020-06-22,635,Aqua,MODIS,64,6.03,301.6,6.6,D,0
10.0165,105.0854,321.6,1.0,1.0,2020-06-22,331,Terra,MODIS,0,6.03,298.1,10.5,D,2
16.1745,99.7235,321.3,1.2,1.1,2020-06-22,635,Aqua,MODIS,67,6.03,299.3,10.2,D,0
17.6734,104.1884,320.5,1.1,1.0,2020-06-22,635,Aqua,MODIS,64,6.03,300.5,7.2,D,0
17.8475,102.5778,325.6,1.0,1.0,2020-06-22,635,Aqua,MODIS,60,6.03,304.0,10.5,D,2
17.4762,100.0324,325.1,1.1,1.1,2020-06-22,635,Aqua,MODIS,58,6.03,302.3,10.3,D,0
16.1923,100.6823,328.9,1.1,1.0,2020-06-22,635,Aqua,MODIS,57,6.03,300.5,11.9,D,0
12.3285,105.5793,318.5,1.1,1.1,2020-06-22,634,Aqua,MODIS,49,6.03,298.3,8.2,D,0
12.5822,104.4821,324.9,1.0,1.0,2020-06-22,634,Aqua,MODIS,0,6.03,302.3,11.9,D,0
12.8396,105.1442,327.0,1.1,1.0,2020-06-22,634,Aqua,MODIS,28,6.03,302.3,13.7,D,0
12.8496,104.4813,331.8,1.0,1.0,2020-06-22,634,Aqua,MODIS,72,6.03,304.8,16.8,D,0
14.0642,100.2606,318.0,1.2,1.1,2020-06-22,634,Aqua,MODIS,62,6.03,297.8,7.1,D,0
14.0625,100.2494,322.6,1.2,1.1,2020-06-22,634,Aqua,MODIS,71,6.03,299.1,13.4,D,0
12.3299,105.5894,319.3,1.1,1.1,2020-06-22,634,Aqua,MODIS,53,6.03,298.3,9.4,D,0
10.28,105.3893,318.7,1.1,1.0,2020-06-22,633,Aqua,MODIS,43,6.03,296.5,9.1,D,0
10.7216,105.0538,327.1,1.0,1.0,2020-06-22,633,Aqua,MODIS,78,6.03,297.6,15.8,D,0
10.4693,105.0135,316.7,1.0,1.0,2020-06-22,331,Terra,MODIS,51,6.03,297.0,8.9,D,0
9.2786,105.7261,318.0,1.0,1.0,2020-06-22,331,Terra,MODIS,39,6.03,296.3,7.8,D,2
10.7958,105.2381,315.9,1.0,1.0,2020-06-22,331,Terra,MODIS,42,6.03,295.8,7.2,D,2
17.8649,100.6035,314.3,2.4,1.5,2020-06-22,329,Terra,MODIS,0,6.03,292.7,22.0,D,0
9.1698,105.1454,317.5,1.0,1.0,2020-06-22,331,Terra,MODIS,36,6.03,295.4,7.7,D,2
20.6295,105.8825,320.4,1.2,1.1,2020-06-22,328,Terra,MODIS,59,6.03,301.0,8.4,D,0
20.4038,105.9047,318.8,1.2,1.1,2020-06-22,328,Terra,MODIS,44,6.03,296.8,7.1,D,0
12.7137,105.9523,320.8,1.4,1.2,2020-06-23,1504,Terra,MODIS,100,6.03,295.1,25.3,N,0
10.554,104.7688,310.8,3.7,1.8,2020-06-23,414,Terra,MODIS,39,6.03,290.0,33.9,D,0
12.4526,98.4328,312.2,1.2,1.1,2020-06-23,414,Terra,MODIS,49,6.03,294.8,7.5,D,0
13.5254,102.6583,316.2,2.2,1.4,2020-06-23,413,Terra,MODIS,17,6.03,293.5,22.4,D,0
14.023,102.6004,313.4,2.2,1.4,2020-06-23,413,Terra,MODIS,22,6.03,292.9,19.0,D,0
16.1182,100.3939,317.2,1.4,1.2,2020-06-23,413,Terra,MODIS,61,6.03,292.9,11.2,D,0
16.1757,99.7246,318.1,1.2,1.1,2020-06-23,413,Terra,MODIS,60,6.03,295.4,8.3,D,0
18.7754,100.7701,318.9,1.3,1.1,2020-06-23,412,Terra,MODIS,40,6.03,296.2,10.3,D,2
19.2231,105.3708,304.1,1.2,1.1,2020-06-23,1505,Terra,MODIS,58,6.03,285.5,4.9,N,0
19.4089,105.5676,309.7,1.2,1.1,2020-06-23,1505,Terra,MODIS,78,6.03,284.9,9.7,N,0
11.0346,103.7088,325.1,1.3,1.1,2020-06-24,621,Aqua,MODIS,76,6.03,294.7,20.2,D,0
14.0354,103.6776,318.2,2.2,1.4,2020-06-24,318,Terra,MODIS,57,6.03,293.7,15.4,D,0
12.7784,104.045,319.6,1.9,1.4,2020-06-24,318,Terra,MODIS,47,6.03,295.5,23.4,D,0
10.021,105.7582,322.2,1.1,1.0,2020-06-24,621,Aqua,MODIS,0,6.03,297.7,10.2,D,2
10.0235,105.0843,314.8,1.1,1.1,2020-06-24,621,Aqua,MODIS,23,6.03,292.3,6.5,D,2
10.3771,105.4281,319.3,1.1,1.0,2020-06-24,621,Aqua,MODIS,66,6.03,296.1,9.9,D,2
10.4486,105.3377,318.4,1.1,1.0,2020-06-24,621,Aqua,MODIS,40,6.03,296.7,10.1,D,0
11.278,104.621,317.1,1.1,1.1,2020-06-24,621,Aqua,MODIS,60,6.03,293.4,7.2,D,0
12.7148,105.9593,300.8,1.0,1.0,2020-06-24,1836,Aqua,MODIS,33,6.03,284.8,3.7,N,0
18.6403,105.4772,315.3,1.2,1.1,2020-06-24,1835,Aqua,MODIS,91,6.03,280.3,15.3,N,0
20.6293,105.8804,308.7,1.0,1.0,2020-06-24,624,Aqua,MODIS,39,6.03,274.2,3.7,D,0
18.4723,105.3988,320.3,1.0,1.0,2020-06-24,623,Aqua,MODIS,62,6.03,293.4,8.2,D,0
18.4634,105.4002,328.5,1.0,1.0,2020-06-24,623,Aqua,MODIS,82,6.03,292.8,17.3,D,0
16.4334,103.5081,324.9,1.1,1.1,2020-06-24,623,Aqua,MODIS,50,6.03,300.1,12.0,D,2
12.3969,105.6849,322.1,1.0,1.0,2020-06-24,622,Aqua,MODIS,70,6.03,296.5,10.0,D,0
