date_time,date_pred,PM2.5,province
2020-07-01 00:00:00,2020-07-01 06:00:00,12.321317,BKK
2020-07-01 00:00:00,2020-07-01 12:00:00,12.993484,BKK
2020-07-01 00:00:00,2020-07-01 18:00:00,11.675415,BKK
2020-07-01 00:00:00,2020-07-02 00:00:00,10.370315,BKK
2020-07-01 00:00:00,2020-07-02 06:00:00,13.185866,BKK
2020-07-01 00:00:00,2020-07-02 12:00:00,13.324626,BKK
2020-07-01 00:00:00,2020-07-02 18:00:00,11.900975,BKK
2020-07-01 00:00:00,2020-07-03 00:00:00,11.122508,BKK
2020-07-01 00:00:00,2020-07-03 06:00:00,13.110577,BKK
2020-07-01 00:00:00,2020-07-03 12:00:00,14.179257,BKK
2020-07-01 00:00:00,2020-07-03 18:00:00,12.583473,BKK
2020-07-01 00:00:00,2020-07-04 00:00:00,10.335779,BKK
2020-07-01 06:00:00,2020-07-01 12:00:00,12.934211,BKK
2020-07-01 06:00:00,2020-07-01 18:00:00,12.393642,BKK
2020-07-01 06:00:00,2020-07-02 00:00:00,11.238386,BKK
2020-07-01 06:00:00,2020-07-02 06:00:00,12.298519,BKK
2020-07-01 06:00:00,2020-07-02 12:00:00,13.90438,BKK
2020-07-01 06:00:00,2020-07-02 18:00:00,12.400403,BKK
2020-07-01 06:00:00,2020-07-03 00:00:00,11.446863,BKK
2020-07-01 06:00:00,2020-07-03 06:00:00,13.164385,BKK
2020-07-01 06:00:00,2020-07-03 12:00:00,13.697313,BKK
2020-07-01 06:00:00,2020-07-03 18:00:00,13.144804,BKK
2020-07-01 06:00:00,2020-07-04 00:00:00,11.676373,BKK
2020-07-01 06:00:00,2020-07-04 06:00:00,12.201057,BKK
2020-07-01 12:00:00,2020-07-01 18:00:00,12.308047,BKK
2020-07-01 12:00:00,2020-07-02 00:00:00,12.027757,BKK
2020-07-01 12:00:00,2020-07-02 06:00:00,13.349562,BKK
2020-07-01 12:00:00,2020-07-02 12:00:00,13.753097,BKK
2020-07-01 12:00:00,2020-07-02 18:00:00,13.24025,BKK
2020-07-01 12:00:00,2020-07-03 00:00:00,11.99029,BKK
2020-07-01 12:00:00,2020-07-03 06:00:00,13.378103,BKK
2020-07-01 12:00:00,2020-07-03 12:00:00,14.279092,BKK
2020-07-01 12:00:00,2020-07-03 18:00:00,13.013423,BKK
2020-07-01 12:00:00,2020-07-04 00:00:00,12.516127,BKK
2020-07-01 12:00:00,2020-07-04 06:00:00,13.481146,BKK
2020-07-01 12:00:00,2020-07-04 12:00:00,13.462885,BKK
2020-07-01 18:00:00,2020-07-02 00:00:00,12.449547,BKK
2020-07-01 18:00:00,2020-07-02 06:00:00,13.442623,BKK
2020-07-01 18:00:00,2020-07-02 12:00:00,14.6919155,BKK
2020-07-01 18:00:00,2020-07-02 18:00:00,14.028986,BKK
2020-07-01 18:00:00,2020-07-03 00:00:00,13.518607,BKK
2020-07-01 18:00:00,2020-07-03 06:00:00,13.707693,BKK
2020-07-01 18:00:00,2020-07-03 12:00:00,14.719239,BKK
2020-07-01 18:00:00,2020-07-03 18:00:00,14.586525,BKK
2020-07-01 18:00:00,2020-07-04 00:00:00,13.552632,BKK
2020-07-01 18:00:00,2020-07-04 06:00:00,14.265772,BKK
2020-07-01 18:00:00,2020-07-04 12:00:00,15.063692,BKK
2020-07-01 18:00:00,2020-07-04 18:00:00,14.013328,BKK
2020-07-02 00:00:00,2020-07-02 06:00:00,13.642465,BKK
2020-07-02 00:00:00,2020-07-02 12:00:00,14.695618,BKK
2020-07-02 00:00:00,2020-07-02 18:00:00,14.932367,BKK
2020-07-02 00:00:00,2020-07-03 00:00:00,14.0494375,BKK
2020-07-02 00:00:00,2020-07-03 06:00:00,14.831005,BKK
2020-07-02 00:00:00,2020-07-03 12:00:00,15.11281,BKK
2020-07-02 00:00:00,2020-07-03 18:00:00,14.868161,BKK
2020-07-02 00:00:00,2020-07-04 00:00:00,14.693533,BKK
2020-07-02 00:00:00,2020-07-04 06:00:00,14.909343,BKK
2020-07-02 00:00:00,2020-07-04 12:00:00,15.691139,BKK
2020-07-02 00:00:00,2020-07-04 18:00:00,15.447655,BKK
