date_time,date_pred,PM2.5,province
2020-07-01 00:00:00,2020-07-01 06:00:00,14.623764,Saraburi
2020-07-01 00:00:00,2020-07-01 12:00:00,12.489325,Saraburi
2020-07-01 00:00:00,2020-07-01 18:00:00,14.192941,Saraburi
2020-07-01 00:00:00,2020-07-02 00:00:00,12.898752,Saraburi
2020-07-01 00:00:00,2020-07-02 06:00:00,15.764797,Saraburi
2020-07-01 00:00:00,2020-07-02 12:00:00,12.197081,Saraburi
2020-07-01 00:00:00,2020-07-02 18:00:00,14.995354,Saraburi
2020-07-01 00:00:00,2020-07-03 00:00:00,12.047306,Saraburi
2020-07-01 00:00:00,2020-07-03 06:00:00,14.259044,Saraburi
2020-07-01 00:00:00,2020-07-03 12:00:00,11.857596,Saraburi
2020-07-01 00:00:00,2020-07-03 18:00:00,14.909361,Saraburi
2020-07-01 00:00:00,2020-07-04 00:00:00,11.3815975,Saraburi
2020-07-01 06:00:00,2020-07-01 12:00:00,12.876984,Saraburi
2020-07-01 06:00:00,2020-07-01 18:00:00,12.786857,Saraburi
2020-07-01 06:00:00,2020-07-02 00:00:00,13.623863,Saraburi
2020-07-01 06:00:00,2020-07-02 06:00:00,12.863902,Saraburi
2020-07-01 06:00:00,2020-07-02 12:00:00,14.405632,Saraburi
2020-07-01 06:00:00,2020-07-02 18:00:00,12.484777,Saraburi
2020-07-01 06:00:00,2020-07-03 00:00:00,14.561139,Saraburi
2020-07-01 06:00:00,2020-07-03 06:00:00,12.260275,Saraburi
2020-07-01 06:00:00,2020-07-03 12:00:00,12.581773,Saraburi
2020-07-01 06:00:00,2020-07-03 18:00:00,11.947333,Saraburi
2020-07-01 06:00:00,2020-07-04 00:00:00,14.571149,Saraburi
2020-07-01 06:00:00,2020-07-04 06:00:00,11.748963,Saraburi
2020-07-01 12:00:00,2020-07-01 18:00:00,13.317951,Saraburi
2020-07-01 12:00:00,2020-07-02 00:00:00,11.788386,Saraburi
